# <ICAO_Airport>,<dep_rwy>,<SID1>,<SID2>,<seperation_minutes>

# FAOR
FAOR,03L,APDAK,APDAK,2
FAOR,03L,APDAK,EGMEN,2
FAOR,03L,APDAK,EXOBI,2
FAOR,03L,APDAK,GAV,1
FAOR,03L,APDAK,GEROX,2
FAOR,03L,APDAK,HGV,2
FAOR,03L,APDAK,OVALA,2
FAOR,03L,APDAK,NESAN,1
FAOR,03L,APDAK,RAGUL,1
FAOR,03L,APDAK,VASUR,1
FAOR,03L,EGMEN,APDAK,2
FAOR,03L,EGMEN,EGMEN,2
FAOR,03L,EGMEN,EXOBI,2
FAOR,03L,EGMEN,GAV,1
FAOR,03L,EGMEN,GEROX,1
FAOR,03L,EGMEN,HGV,2
FAOR,03L,EGMEN,OVALA,2
FAOR,03L,EGMEN,NESAN,1
FAOR,03L,EGMEN,RAGUL,1
FAOR,03L,EGMEN,VASUR,1
FAOR,03L,EXOBI,APDAK,2
FAOR,03L,EXOBI,EGMEN,2
FAOR,03L,EXOBI,EXOBI,2  
FAOR,03L,EXOBI,GAV,1
FAOR,03L,EXOBI,GEROX,1
FAOR,03L,EXOBI,HGV,1
FAOR,03L,EXOBI,OVALA,1
FAOR,03L,EXOBI,NESAN,1
FAOR,03L,EXOBI,RAGUL,1
FAOR,03L,EXOBI,VASUR,1
FAOR,03L,GAV,APDAK,1
FAOR,03L,GAV,EGMEN,1
FAOR,03L,GAV,EXOBI,1
FAOR,03L,GAV,GAV,2
FAOR,03L,GAV,GEROX,1
FAOR,03L,GAV,HGV,1
FAOR,03L,GAV,OVALA,1
FAOR,03L,GAV,NESAN,1
FAOR,03L,GAV,RAGUL,2
FAOR,03L,GAV,VASUR,1
FAOR,03L,NESAN,APDAK,1
FAOR,03L,NESAN,EGMEN,1
FAOR,03L,NESAN,EXOBI,1
FAOR,03L,NESAN,GAV,1
FAOR,03L,NESAN,GEROX,1
FAOR,03L,NESAN,HGV,1
FAOR,03L,NESAN,OVALA,1
FAOR,03L,NESAN,NESAN,2
FAOR,03L,NESAN,RAGUL,1
FAOR,03L,NESAN,VASUR,2
FAOR,03L,RAGUL,APDAK,1
FAOR,03L,RAGUL,EGMEN,1
FAOR,03L,RAGUL,EXOBI,1
FAOR,03L,RAGUL,GAV,2
FAOR,03L,RAGUL,GEROX,1
FAOR,03L,RAGUL,HGV,1
FAOR,03L,RAGUL,OVALA,1
FAOR,03L,RAGUL,NESAN,1
FAOR,03L,RAGUL,RAGUL,2
FAOR,03L,RAGUL,VASUR,1
FAOR,03L,VASUR,APDAK,1
FAOR,03L,VASUR,EGMEN,1
FAOR,03L,VASUR,EXOBI,1
FAOR,03L,VASUR,GAV,1
FAOR,03L,VASUR,GEROX,1
FAOR,03L,VASUR,HGV,1
FAOR,03L,VASUR,OVALA,1
FAOR,03L,VASUR,NESAN,2
FAOR,03L,VASUR,RAGUL,1
FAOR,03L,VASUR,VASUR,1
FAOR,21L,APDAK,APDAK,2
FAOR,21L,APDAK,EGMEN,2
FAOR,21L,APDAK,EXOBI,2
FAOR,21L,APDAK,GAV,1
FAOR,21L,APDAK,GEROX,2
FAOR,21L,APDAK,HGV,2
FAOR,21L,APDAK,OVALA,2
FAOR,21L,APDAK,NESAN,1
FAOR,21L,APDAK,RAGUL,1
FAOR,21L,APDAK,VASUR,1
